model,case_id,loss_ML,loss_MH,loss_MLrbf,loss_MHpca4
Qwen,B008,0.33898033926127336,0.17925041484747334,0.24779311651570968,0.37485225661092897
Qwen,B009,0.7254594352477761,0.602846142785514,0.7145531375897046,0.714412062630555
Qwen,B010,0.5017220365862913,0.35535446927780245,0.5473489356153092,0.40003796228601907
Qwen,B013,0.3230456712533981,0.24988684397135072,0.28116557097661005,0.282561086997401
Qwen,B014,0.44217824233878833,0.3813445722719323,0.48878134975220977,0.3674265277763477
Qwen,B015,0.8473833226083384,1.1267229127761869,0.9662901078461381,0.8605432131366981
Qwen,B016,0.333855416739933,0.22299665513588335,0.2806291930674171,0.3502278933648558
Qwen,B017,0.6532054671772732,0.5875810057880487,0.7500820577299143,0.5078876051949659
Qwen,B018,0.5580218450558305,0.5669610016980312,0.6459073121834613,0.5761964451409234
Qwen,B019,0.5290473977392767,0.6441049084590145,0.6292459627958324,0.6203832762788719
Qwen,B020,0.6062352813239869,0.5712896874290343,0.6969690117440246,0.5202961920670125
Qwen,B023,1.2140902251064953,1.1479932704847091,0.9815910695567875,1.1078822462679114
Qwen,B024,0.5138686365159909,0.48722514124382055,0.5809313799558247,0.4499321365748889
Qwen,B025,0.8113147217492092,0.715664235745756,0.7953040868723338,0.8896558076984684
Qwen,B026,0.5918236084472746,0.6854175952228869,0.5069427425782945,0.6916223452573099
Qwen,B027,0.6294350560790443,0.7311684572506281,0.5884766026530176,0.7243459500068529
Qwen,B028,0.5178071367998864,0.664370037507121,0.8343135033855542,0.3673179019466154
